Class,tp,fp,fn,p,r,f1
"Genre",0,0,17,0,0,0
"Platform",0,0,41,0,0,0
"Owned by",0,0,42,0,0,0
"Mother",0,0,8,0,0,0
"Chairperson",0,0,10,0,0,0
"Narrative location",0,0,13,0,0,0
"Record label",5,5,91,50.0,5.208333333333333,9.433962264150942
"Continent",4,1,57,80.0,6.557377049180328,12.121212121212123
"Conjunction",0,0,49,0,0,0
"Sibling",0,2,28,0,0,0
"Ethnicity",0,0,2,0,0,0
"Cause effect",0,0,15,0,0,0
"Start time",0,0,20,0,0,0
"Original network",0,0,10,0,0,0
"Claimed by",0,0,6,0,0,0
"Residence",0,0,8,0,0,0
"Ethnic group",0,0,14,0,0,0
"Opposite",4,11,60,26.666666666666668,6.25,10.126582278481012
"Basin country",0,1,15,0,0,0
"Shareholder of",40,0,24,100.0,62.5,76.92307692307692
"Role",16,23,595,41.02564102564103,2.618657937806874,4.923076923076923
"Origin",7,7,95,50.0,6.862745098039215,12.068965517241379
"Head of government",0,0,35,0,0,0
"Composer",2,1,16,66.66666666666667,11.11111111111111,19.047619047619047
"Located in",1111,192,1109,85.26477359938603,50.04504504504504,63.07124609707636
"Used for",3,0,235,100.0,1.2605042016806722,2.489626556016597
"Original language of work",0,0,8,0,0,0
"Contains location",3407,410,411,89.25858003667803,89.2352016762703,89.2468893254748
"Topic",0,4,37,0,0,0
"Languages spoken, written or signed",0,0,26,0,0,0
"Neighborhood",321,15,53,95.53571428571429,85.8288770053476,90.42253521126761
"Parent taxon",1,0,3,100.0,25.0,40.0
"General affiliation",0,1,113,0,0,0
"Employer",1,4,40,20.0,2.4390243902439024,4.347826086956522
"Part of",6,4,421,60.0,1.405152224824356,2.745995423340961
"Sister city",0,0,0,0,0,0
"Physical",29,11,420,72.5,6.458797327394209,11.860940695296524
"Nationality",457,100,89,82.04667863554758,83.6996336996337,82.8649138712602
"Place lived",415,185,181,69.16666666666667,69.63087248322148,69.39799331103679
"Publication date",14,6,144,70.0,8.860759493670885,15.730337078651687
"Founded in",19,14,15,57.57575757575758,55.88235294117647,56.71641791044776
"Profession",0,0,0,0,0,0
"Follows",1,1,34,50.0,2.857142857142857,5.405405405405406
"Capital",619,29,65,95.5246913580247,90.49707602339181,92.94294294294293
"Performer",4,1,69,80.0,5.47945205479452,10.256410256410255
"Series",0,0,20,0,0,0
"Publisher",1,0,27,100.0,3.5714285714285716,6.8965517241379315
"Compare",0,0,37,0,0,0
"Operator",0,1,18,0,0,0
"Religion",4,1,29,80.0,12.121212121212121,21.05263157894737
"Feature of ",0,0,0,0,0,0
"Industry",0,0,0,0,0,0
"Legislative body",2,0,23,100.0,8.0,14.814814814814815
"Contains adminstrative territorial entity",51,44,261,53.68421052631579,16.346153846153847,25.061425061425062
"Present in work",0,0,34,0,0,0
"Social",0,0,47,0,0,0
"Artifact",33,12,256,73.33333333333333,11.418685121107266,19.76047904191617
"Creator",0,4,10,0,0,0
"Manufacturer",0,0,9,0,0,0
"Unemployment rate",0,0,0,0,0,0
"Spouse",2,1,34,66.66666666666667,5.555555555555555,10.256410256410255
"Named",2,3,188,40.0,1.0526315789473684,2.051282051282051
"Instance of",0,0,14,0,0,0
"Inception",8,6,103,57.142857142857146,7.207207207207207,12.8
"Dissolved, abolished or demolished",0,0,16,0,0,0
"Influenced by",0,0,2,0,0,0
"Mouth of the watercourse",1,0,16,100.0,5.882352941176471,11.111111111111112
"Developer",0,1,49,0,0,0
"Position held",0,0,3,0,0,0
"Notable work",25,36,226,40.98360655737705,9.9601593625498,16.025641025641026
"Country of citizenship",7,11,285,38.888888888888886,2.3972602739726026,4.516129032258064
"Date of birth",25,7,134,78.125,15.723270440251572,26.17801047120419
"End time",0,0,12,0,0,0
"Lyrics by",0,0,11,0,0,0
"Win defeat",30,29,131,50.847457627118644,18.633540372670808,27.272727272727273
"Organization based in",30,3,65,90.9090909090909,31.57894736842105,46.87499999999999
"ALL",7599,1597,10083,82.63375380600262,42.97590770274856,56.544385742986826

